city,distance_km,vehicle_type,mileage_kmpl,fuel_price_per_l,food_type,food_budget_tier,meals_per_day,activity_count,activity_type,needs_accommodation,hotel_cost_per_night,people_count,transport_type,total_daily_expense
Bengaluru,123.6,ev,0.14,8.5,non_veg,fine_dining,3,5,beach,0,0.0,1,personal_vehicle,3210.58
Hyderabad,54.8,scooter,50.7,102.0,non_veg,budget,4,5,museum,0,0.0,1,rental_vehicle,1649.84
Goa,120.1,ev,0.16,8.5,veg,budget,4,2,entertainment,1,2003.2,2,taxi,4635.5
Delhi,194.3,car,14.3,102.0,non_veg,budget,2,2,museum,0,0.0,3,personal_vehicle,3649.86
Delhi,144.3,ev,0.14,8.5,local_cuisine,budget,3,5,beach,0,0.0,3,taxi,3819.04
Goa,121.2,car,17.6,102.0,fast_food,budget,3,2,sightseeing,0,0.0,4,personal_vehicle,3718.77
Jaipur,187.4,bike,32.1,102.0,fast_food,budget,2,5,shopping,1,818.28,4,rental_vehicle,5806.31
Jaipur,174.9,car,14.5,102.0,fast_food,mid_range,3,4,cafe_hopping,0,0.0,1,taxi,3178.43
Goa,194.3,bike,44.6,102.0,cafe,mid_range,3,2,sightseeing,1,4295.07,2,rental_vehicle,7626.04
Bengaluru,127.4,ev,0.19,8.5,veg,budget,4,4,sightseeing,1,4281.24,3,taxi,8166.89
Delhi,40.3,ev,0.1,8.5,veg,fine_dining,4,5,sightseeing,0,0.0,1,public_transport,3657.14
Delhi,133.6,scooter,44.9,102.0,fast_food,mid_range,3,1,cafe_hopping,0,0.0,3,taxi,4409.78
Jaipur,71.7,ev,0.16,8.5,cafe,budget,3,1,sightseeing,0,0.0,1,rental_vehicle,963.18
Bengaluru,121.5,ev,0.17,8.5,non_veg,mid_range,3,5,shopping,1,3934.52,4,personal_vehicle,10300.37
Bengaluru,110.1,car,17.3,102.0,fast_food,mid_range,3,2,beach,1,867.46,1,public_transport,2719.01
Goa,133.0,ev,0.2,8.5,local_cuisine,fine_dining,2,5,museum,0,0.0,1,personal_vehicle,2419.98
Kochi,68.4,car,17.3,102.0,non_veg,mid_range,3,1,museum,0,0.0,1,public_transport,1819.44
Hyderabad,139.4,scooter,52.0,102.0,veg,mid_range,3,4,beach,0,0.0,3,personal_vehicle,5037.76
Hyderabad,190.8,car,18.4,102.0,cafe,fine_dining,3,1,cafe_hopping,1,2320.81,3,taxi,9760.48
Goa,77.2,scooter,43.8,102.0,local_cuisine,budget,3,4,cafe_hopping,1,1153.48,2,personal_vehicle,3285.96
Chennai,150.0,scooter,47.1,102.0,cafe,budget,2,3,beach,0,0.0,2,personal_vehicle,1875.87
Kochi,130.1,bike,39.9,102.0,non_veg,budget,3,2,entertainment,0,0.0,1,personal_vehicle,1199.27
Hyderabad,156.8,ev,0.11,8.5,veg,mid_range,3,1,entertainment,0,0.0,2,personal_vehicle,2723.13
Chennai,168.1,ev,0.18,8.5,fast_food,mid_range,3,2,entertainment,0,0.0,1,public_transport,1538.99
Mumbai,148.8,scooter,45.0,102.0,local_cuisine,budget,4,5,cafe_hopping,1,1430.77,1,rental_vehicle,3141.58
Chennai,166.1,ev,0.13,8.5,local_cuisine,fine_dining,3,5,cafe_hopping,0,0.0,1,personal_vehicle,3138.54
Chennai,170.0,bike,31.9,102.0,non_veg,mid_range,3,5,beach,1,3422.36,1,personal_vehicle,5849.41
Hyderabad,60.0,scooter,45.7,102.0,non_veg,fine_dining,3,3,entertainment,0,0.0,1,taxi,3139.13
Delhi,171.8,scooter,47.5,102.0,veg,budget,3,3,adventure,1,4011.81,3,taxi,7931.95
Hyderabad,67.9,bike,36.5,102.0,fast_food,budget,3,2,adventure,1,3171.6,3,personal_vehicle,5325.97
Hyderabad,102.5,scooter,53.5,102.0,cafe,budget,4,1,museum,0,0.0,1,rental_vehicle,1254.37
Delhi,35.7,ev,0.11,8.5,local_cuisine,fine_dining,3,5,cafe_hopping,0,0.0,1,taxi,3239.72
Hyderabad,38.9,car,17.6,102.0,non_veg,mid_range,2,3,shopping,0,0.0,2,personal_vehicle,2452.6
Hyderabad,55.4,car,12.7,102.0,local_cuisine,budget,2,4,sightseeing,0,0.0,4,personal_vehicle,3897.27
Jaipur,128.5,ev,0.18,8.5,non_veg,budget,3,5,entertainment,0,0.0,1,rental_vehicle,1551.79
Hyderabad,149.4,scooter,54.5,102.0,non_veg,budget,3,5,shopping,1,1501.87,2,personal_vehicle,4128.95
Mumbai,60.5,car,16.5,102.0,local_cuisine,budget,2,4,shopping,0,0.0,2,taxi,2592.72
Mumbai,81.4,ev,0.19,8.5,non_veg,mid_range,3,1,sightseeing,1,4288.48,3,taxi,8586.64
Bengaluru,58.1,ev,0.15,8.5,fast_food,mid_range,3,1,cafe_hopping,1,2467.29,3,personal_vehicle,6011.7
Goa,197.8,car,18.8,102.0,cafe,budget,3,1,museum,1,1189.86,1,taxi,3226.04
Kochi,198.4,ev,0.18,8.5,fast_food,budget,2,5,museum,1,3628.18,1,rental_vehicle,5450.94
Hyderabad,25.6,ev,0.19,8.5,veg,fine_dining,3,3,sightseeing,0,0.0,1,personal_vehicle,2699.69
Kochi,180.2,scooter,52.0,102.0,local_cuisine,mid_range,2,5,museum,1,2726.84,2,rental_vehicle,6530.8
Mumbai,18.3,bike,48.6,102.0,veg,budget,3,4,shopping,1,4289.38,1,personal_vehicle,5397.86
Chennai,132.7,car,18.7,102.0,veg,budget,3,5,museum,0,0.0,4,rental_vehicle,6029.31
Goa,116.0,car,18.6,102.0,fast_food,budget,3,1,adventure,0,0.0,2,rental_vehicle,2261.72
Mumbai,193.4,car,17.1,102.0,local_cuisine,mid_range,3,5,sightseeing,0,0.0,1,public_transport,2818.22
Hyderabad,140.9,car,17.8,102.0,veg,mid_range,2,2,shopping,0,0.0,1,personal_vehicle,1811.29
Mumbai,86.3,scooter,49.9,102.0,veg,mid_range,3,3,entertainment,1,2188.46,2,taxi,5741.68
Kochi,171.1,scooter,40.5,102.0,veg,budget,3,5,sightseeing,1,3598.18,3,rental_vehicle,7476.45
Delhi,158.3,scooter,48.9,102.0,cafe,mid_range,2,5,shopping,1,2115.32,2,taxi,5062.67
Chennai,121.8,ev,0.15,8.5,fast_food,budget,3,4,beach,0,0.0,1,rental_vehicle,1399.42
Delhi,71.2,car,12.8,102.0,cafe,mid_range,4,5,cafe_hopping,1,2725.1,1,rental_vehicle,5705.35
Hyderabad,149.7,bike,31.8,102.0,local_cuisine,budget,3,3,sightseeing,1,3177.49,1,taxi,4703.83
Hyderabad,87.9,scooter,51.2,102.0,veg,fine_dining,3,4,museum,1,1411.59,2,rental_vehicle,7192.15
Kochi,121.4,scooter,47.8,102.0,cafe,mid_range,2,3,adventure,0,0.0,1,taxi,1795.19
Bengaluru,188.1,ev,0.11,8.5,local_cuisine,budget,4,3,sightseeing,1,826.01,1,rental_vehicle,2262.62
Delhi,35.0,bike,45.0,102.0,veg,fine_dining,2,4,shopping,0,0.0,1,public_transport,2215.18
Bengaluru,61.7,scooter,46.4,102.0,veg,mid_range,2,5,beach,0,0.0,1,rental_vehicle,1677.82
Mumbai,36.5,ev,0.13,8.5,fast_food,budget,3,2,entertainment,1,2872.62,4,rental_vehicle,6446.21
Kochi,148.9,scooter,54.7,102.0,cafe,mid_range,2,1,entertainment,0,0.0,4,taxi,4209.13
Chennai,44.8,bike,33.0,102.0,local_cuisine,mid_range,2,1,sightseeing,1,1641.42,1,public_transport,2739.09
Chennai,126.5,scooter,46.9,102.0,veg,mid_range,2,1,shopping,0,0.0,3,public_transport,2892.03
Jaipur,152.4,ev,0.11,8.5,local_cuisine,budget,4,3,cafe_hopping,0,0.0,1,personal_vehicle,1228.31
Kochi,153.3,car,14.0,102.0,cafe,mid_range,2,3,museum,0,0.0,4,rental_vehicle,5546.99
Chennai,15.2,bike,31.9,102.0,fast_food,fine_dining,3,4,entertainment,0,0.0,2,personal_vehicle,5281.01
Jaipur,193.3,ev,0.12,8.5,local_cuisine,mid_range,3,5,cafe_hopping,1,1524.61,3,rental_vehicle,6894.69
Bengaluru,95.0,scooter,51.9,102.0,fast_food,budget,3,3,adventure,0,0.0,1,taxi,1577.89
Goa,38.9,ev,0.18,8.5,fast_food,fine_dining,3,1,cafe_hopping,0,0.0,1,rental_vehicle,2545.94
Jaipur,71.4,ev,0.19,8.5,fast_food,budget,2,1,entertainment,0,0.0,2,rental_vehicle,1375.86
Mumbai,45.6,bike,35.9,102.0,non_veg,budget,3,1,entertainment,1,3211.17,1,taxi,4188.92
Bengaluru,165.7,ev,0.13,8.5,non_veg,budget,2,2,adventure,1,2354.44,4,public_transport,5512.09
Chennai,92.7,ev,0.14,8.5,cafe,mid_range,3,3,entertainment,0,0.0,2,rental_vehicle,3159.05
Bengaluru,69.8,ev,0.11,8.5,veg,mid_range,4,3,beach,1,1597.46,1,personal_vehicle,3523.7
Delhi,54.2,bike,45.8,102.0,cafe,fine_dining,3,3,entertainment,0,0.0,1,taxi,3102.84
Kochi,97.5,ev,0.14,8.5,fast_food,mid_range,3,3,beach,0,0.0,1,rental_vehicle,1770.18
Goa,144.5,scooter,53.7,102.0,non_veg,mid_range,3,5,cafe_hopping,1,2868.98,2,personal_vehicle,6623.31
Delhi,130.7,ev,0.11,8.5,cafe,mid_range,2,1,sightseeing,0,0.0,1,public_transport,1090.06
Mumbai,181.6,ev,0.19,8.5,cafe,mid_range,3,5,adventure,1,928.28,2,taxi,5243.54
Kochi,172.6,car,18.6,102.0,local_cuisine,budget,3,5,museum,0,0.0,1,public_transport,2233.39
Hyderabad,25.6,scooter,46.5,102.0,veg,budget,2,5,entertainment,0,0.0,2,public_transport,2365.79
Delhi,138.5,ev,0.11,8.5,local_cuisine,mid_range,3,2,shopping,0,0.0,4,taxi,5586.8
Chennai,10.6,bike,39.4,102.0,non_veg,fine_dining,3,2,sightseeing,0,0.0,1,public_transport,2567.27
Goa,99.3,ev,0.13,8.5,veg,mid_range,2,1,adventure,1,3922.52,1,public_transport,5035.73
Kochi,85.4,scooter,54.0,102.0,veg,mid_range,3,1,museum,0,0.0,2,personal_vehicle,2709.18
Hyderabad,103.8,car,12.4,102.0,fast_food,budget,3,1,beach,1,4064.36,2,personal_vehicle,5909.22
Jaipur,146.5,ev,0.18,8.5,veg,mid_range,2,5,cafe_hopping,0,0.0,2,rental_vehicle,3267.07
Bengaluru,31.8,scooter,52.0,102.0,local_cuisine,budget,2,4,beach,1,2295.69,1,personal_vehicle,3310.25
Chennai,132.8,car,17.9,102.0,non_veg,mid_range,2,1,sightseeing,0,0.0,1,rental_vehicle,1899.74
Mumbai,150.8,bike,31.3,102.0,non_veg,budget,3,3,entertainment,0,0.0,2,rental_vehicle,2543.53
Goa,133.9,ev,0.14,8.5,fast_food,mid_range,3,1,museum,1,2984.06,1,taxi,4442.83
Mumbai,95.5,ev,0.19,8.5,fast_food,mid_range,3,1,adventure,1,3347.1,1,taxi,5172.55
Jaipur,179.1,bike,48.9,102.0,fast_food,budget,3,4,entertainment,0,0.0,1,rental_vehicle,1585.48
Mumbai,69.1,scooter,52.7,102.0,non_veg,mid_range,3,1,cafe_hopping,1,1320.05,1,taxi,3037.18
Jaipur,83.0,car,14.1,102.0,fast_food,budget,2,2,adventure,1,2496.54,1,personal_vehicle,3850.31
Bengaluru,32.1,scooter,45.6,102.0,fast_food,fine_dining,3,4,sightseeing,1,1867.1,4,taxi,14434.23
Jaipur,154.8,car,20.4,102.0,fast_food,budget,3,3,shopping,0,0.0,1,taxi,1933.48
Jaipur,193.6,car,17.4,102.0,veg,mid_range,2,3,museum,1,2608.92,1,personal_vehicle,4717.23
Kochi,118.2,scooter,46.9,102.0,cafe,budget,3,5,beach,1,1289.78,2,rental_vehicle,4270.66
Mumbai,77.2,car,20.7,102.0,cafe,mid_range,3,5,sightseeing,1,2527.09,1,rental_vehicle,4793.48
Goa,27.8,ev,0.19,8.5,non_veg,mid_range,3,3,entertainment,1,2140.39,2,personal_vehicle,4837.24
Kochi,96.6,ev,0.18,8.5,local_cuisine,mid_range,3,1,beach,0,0.0,2,personal_vehicle,2543.96
Jaipur,194.6,bike,48.5,102.0,non_veg,mid_range,3,3,entertainment,1,1297.41,1,taxi,3668.24
Delhi,162.8,ev,0.17,8.5,veg,mid_range,4,2,shopping,1,1890.09,1,personal_vehicle,3978.92
Hyderabad,37.1,ev,0.19,8.5,local_cuisine,mid_range,3,4,entertainment,1,1127.84,1,rental_vehicle,2806.29
Kochi,87.4,scooter,40.4,102.0,fast_food,budget,2,4,museum,1,1067.57,4,public_transport,4964.61
Chennai,105.1,scooter,43.6,102.0,local_cuisine,budget,3,4,shopping,0,0.0,3,rental_vehicle,3699.61
Goa,87.0,car,12.2,102.0,cafe,mid_range,3,5,museum,1,2123.91,2,rental_vehicle,6574.9
Goa,95.4,scooter,52.3,102.0,local_cuisine,mid_range,3,2,beach,0,0.0,1,public_transport,1512.85
Kochi,117.0,ev,0.11,8.5,non_veg,mid_range,2,2,shopping,1,3470.37,1,personal_vehicle,4494.3
Goa,122.8,bike,31.3,102.0,non_veg,mid_range,3,4,sightseeing,0,0.0,4,personal_vehicle,6614.25
Chennai,34.7,bike,46.9,102.0,local_cuisine,mid_range,4,3,museum,0,0.0,1,taxi,2209.66
Chennai,186.7,bike,44.1,102.0,non_veg,budget,3,3,museum,0,0.0,1,public_transport,1534.53
Chennai,138.5,bike,36.0,102.0,cafe,mid_range,3,5,shopping,0,0.0,1,public_transport,1890.81
Hyderabad,31.1,ev,0.14,8.5,local_cuisine,budget,3,5,shopping,0,0.0,1,rental_vehicle,1437.98
Goa,80.5,scooter,47.1,102.0,veg,mid_range,3,5,shopping,0,0.0,4,taxi,6963.37
Delhi,19.9,ev,0.17,8.5,veg,fine_dining,3,3,museum,0,0.0,1,rental_vehicle,2966.55
